Mon May  3 09:17:31 2021    data/20210503-09:17:02-10-cprofile/pocket-client-0006.cprofile

         105930 function calls (102626 primitive calls) in 1.336 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    271/3    0.000    0.000    0.664    0.221 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      251    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:111(__init__)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      728    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      352    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/contextlib.py:49(inner)
      215    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      274    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:437(_add_docstring)
      118    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_compile.py:388(_simple)
      400    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:159(__len__)
      353    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:86(<lambda>)
      316    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/overrides.py:124(array_function_dispatch)
      351    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:76(<lambda>)
      354    0.000    0.000    0.000    0.000 /usr/lib/python3.6/socket.py:91(<lambda>)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/ctypes/__init__.py:259(_reset_cache)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/core/numerictypes.py:81(<module>)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.100    0.100 /usr/lib/python3.6/datetime.py:5(<module>)
      285    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.007    0.007 /usr/local/lib/python3.6/dist-packages/numpy/ma/__init__.py:41(<module>)
        4    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        7    0.000    0.000    0.004    0.001 /usr/lib/python3.6/enum.py:366(_create_)
      207    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:28(_is_dunder)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/core/_add_newdocs.py:10(<module>)
        1    0.000    0.000    0.546    0.546 /usr/local/lib/python3.6/dist-packages/numpy/core/__init__.py:7(<module>)
      168    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:20(_is_descriptor)
       42    0.000    0.000    0.012    0.000 /usr/lib/python3.6/sre_compile.py:542(_code)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_compat_pickle.py:9(<module>)
        1    0.000    0.000    1.338    1.338 app.pocket.py:3(<module>)
      124    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
