Sun May  2 02:25:54 2021    pocket-client-0005.cprofile

         173839 function calls (168867 primitive calls) in 6.680 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1164    0.001    0.000    0.002    0.000 /usr/lib/python3.6/sre_parse.py:253(get)
      567    0.001    0.000    0.002    0.000 {built-in method builtins.any}
     1006    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
   374/20    0.001    0.000    0.716    0.036 {built-in method builtins.__import__}
      685    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      426    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      154    0.001    0.000    0.026    0.000 /usr/lib/python3.6/re.py:286(_compile)
      340    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      341    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      536    0.001    0.000    0.093    0.000 <frozen importlib._bootstrap>:403(cached)
     1006    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
       16    0.001    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:251(__init__)
     2133    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      190    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      195    0.001    0.000    0.001    0.000 /usr/lib/python3.6/typing.py:354(_type_check)
      256    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     2133    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1638    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      317    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       77    0.001    0.000    0.003    0.000 /usr/lib/python3.6/json/encoder.py:182(encode)
  338/306    0.001    0.000    0.019    0.000 /usr/lib/python3.6/typing.py:676(inner)
       76    0.001    0.000    0.002    0.000 /usr/lib/python3.6/json/decoder.py:334(decode)
   120/43    0.001    0.000    0.009    0.000 /usr/lib/python3.6/sre_parse.py:407(_parse_sub)
      341    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       76    0.000    0.000    0.001    0.000 /usr/lib/python3.6/json/__init__.py:244(detect_encoding)
     1252    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      253    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
