Mon May  3 09:11:19 2021    data/20210503-09:10:54-5-cprofile/pocket-server-001.cprofile

         1388125 function calls (1322899 primitive calls) in 20.726 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      833    0.002    0.000    0.015    0.000 /usr/lib/python3.6/sre_compile.py:223(_compile_charset)
      612    0.002    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:67(getargs)
      321    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      189    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      161    0.002    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/module_wrapper.py:84(__init__)
     6807    0.002    0.000    0.003    0.000 /usr/lib/python3.6/sre_parse.py:248(match)
1071/1029    0.002    0.000    0.003    0.000 /usr/lib/python3.6/typing.py:1164(__setattr__)
    10032    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
       84    0.002    0.000    0.011    0.000 /usr/lib/python3.6/typing.py:922(__new__)
   416/75    0.002    0.000    0.004    0.000 /usr/lib/python3.6/abc.py:196(__subclasscheck__)
     3007    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:143(__init__)
     1453    0.002    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/module_wrapper.py:204(__setattr__)
      323    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
     6289    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
     2916    0.002    0.000    0.002    0.000 {built-in method _imp.is_frozen}
        1    0.002    0.002    1.886    1.886 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/__init__.py:25(<module>)
     2209    0.001    0.000    0.001    0.000 {method 'FindFieldByName' of 'google.protobuf.pyext._message.DescriptorPool' objects}
     3462    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2916    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:780(find_spec)
      655    0.001    0.000    0.003    0.000 /usr/lib/python3.6/enum.py:70(__setitem__)
     1605    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
      471    0.001    0.000    0.002    0.000 /usr/lib/python3.6/copy.py:268(_reconstruct)
      324    0.001    0.000    0.015    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/decorator_utils.py:76(add_notice_to_docstring)
     3694    0.001    0.000    0.002    0.000 /usr/lib/python3.6/inspect.py:159(isfunction)
