Mon May  3 07:34:29 2021    data/20210503-07:34:09-10-cprofile/pocket-client-0002.cprofile

         105930 function calls (102626 primitive calls) in 1.673 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      386    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
     1132    0.001    0.000    0.002    0.000 /usr/lib/python3.6/sre_parse.py:253(get)
       42    0.000    0.000    0.002    0.000 /usr/lib/python3.6/sre_compile.py:482(_compile_info)
      207    0.001    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:70(__setitem__)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:94(_register_known_types)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.6/dist-packages/numpy/polynomial/polynomial.py:74(<module>)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.6/warnings.py:119(filterwarnings)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/lib/twodim_base.py:3(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/random.py:38(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/ntpath.py:6(<module>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/core/arrayprint.py:5(<module>)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      501    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
  422/213    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:173(getwidth)
      182    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2017    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        6    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:35(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/bz2.py:5(<module>)
     1065    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:163(__getitem__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/testing/_private/utils.py:4(<module>)
     1408    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:232(__next)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/unittest/result.py:1(<module>)
     1857    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      109    0.000    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:797(__or__)
     1024    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/lib/utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/difflib.py:27(<module>)
     3719    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
     1044    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/lib/arraysetops.py:27(<module>)
      188    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/argparse.py:1316(add_argument)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/selectors.py:5(<module>)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/unittest/loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/core/_type_aliases.py:24(<module>)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.6/argparse.py:1235(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/pickle.py:181(<listcomp>)
       44    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:138(get_object_signature)
       13    0.000    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:160(<setcomp>)
       18    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:1894(info)
       30    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:41(<lambda>)
      274    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:437(_add_docstring)
     4606    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:1298(info)
3729/3602    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      102    0.000    0.000    0.001    0.000 /usr/lib/python3.6/re.py:169(match)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
       42    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:828(fix_flags)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/argparse.py:2361(_get_formatter)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.6/argparse.py:166(__init__)
        1    0.000    0.000    0.001    0.001 app.pocket.py:47(build_model)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/json/encoder.py:2(<module>)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.6/logging/__init__.py:1421(_log)
        1    0.000    0.000    0.001    0.001 /root/tfrpc/client/yolo_msgq.py:905(tf_keras_applications_MobileNetV2)
      572    0.000    0.000    0.001    0.000 <string>:12(__new__)
       26    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:6750(__init__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:5(<module>)
  349/312    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/unittest/util.py:1(<module>)
      247    0.001    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:353(__setattr__)
        1    0.001    0.001    0.001    0.001 /usr/lib/python3.6/datetime.py:1381(datetime)
       26    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:6755(getdoc)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/argparse.py:62(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/opcode.py:5(<module>)
       12    0.000    0.000    0.001    0.000 /usr/lib/python3.6/abc.py:151(register)
        1    0.000    0.000    0.001    0.001 /root/tfrpc/client/yolo_msgq.py:464(tf_reshape)
     1479    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/lzma.py:9(<module>)
      284    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      616    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/compat/_inspect.py:13(ismethod)
    27/13    0.000    0.000    0.001    0.000 /usr/lib/python3.6/abc.py:196(__subclasscheck__)
     1301    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/numbers.py:6(<module>)
       52    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/ma/core.py:895(__init__)
       15    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/arrayprint.py:1473(_array_str_implementation)
      193    0.000    0.000    0.001    0.000 {built-in method builtins.any}
       53    0.000    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:96(closegroup)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/ctypeslib.py:51(<module>)
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.6/textwrap.py:414(dedent)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/ma/extras.py:10(<module>)
      406    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.6/dist-packages/numpy/lib/ufunclike.py:5(<module>)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:760(_missing_)
       15    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/arrayprint.py:461(wrapper)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.6/enum.py:767(_create_pseudo_member_)
        9    0.000    0.000    0.001    0.000 /usr/lib/python3.6/json/__init__.py:302(loads)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     10/6    0.000    0.000    0.000    0.000 /root/tfrpc/client/yolo_msgq.py:1000(convert_object_to_dict)
      168    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:20(_is_descriptor)
      528    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:847(__exit__)
      188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
       15    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/arrayprint.py:1466(_guarded_repr_or_str)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:839(_decompose)
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.6/abc.py:135(<setcomp>)
       19    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_add_newdocs.py:6709(add_newdoc_for_scalar_type)
      274    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:419(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:1(<module>)
